rank,momentum,artist,title,points,days,genre,url,length,released,bpm,key,label
24,4,VINTER (BR),Space Pump,8297,124,HOUSE,https://www.beatstats.com/track/track/21026596,6:01,2025-08-29,128,10A - B Minor,NERVOUS RECORDS
25,4,"EMPIRE OF THE SUN, BLOND:ISH",Walking On A Dream,8211,133,DANCE / POP,https://www.beatstats.com/track/track/20832384,5:20,2025-07-28,127,4A - F Minor,EMI RECORDED MUSIC AUSTRALIA PTY LTD
26,0,"CHRIS LAKE, RAGIE BAN",Toxic,8030,133,TECH HOUSE,https://www.beatstats.com/track/track/20291674,4:58,2025-03-28,129,4A - F Minor,BLACK BOOK RECORDS
27,4,FEZZO,Kids,7786,84,DANCE / POP,https://www.beatstats.com/track/track/22448219,6:10,2025-11-14,130,11A - F# Minor,RELENTLESS LABEL SERVICES
28,57,TRACE (UZ),Good Time,7734,86,HOUSE,https://www.beatstats.com/track/track/23443670,5:46,2026-02-06,128,1A - G# Minor,8BIT
29,49,MAU P,neck,7688,87,TECH HOUSE,https://www.beatstats.com/track/track/23308330,5:50,2026-02-06,129,10A - B Minor,BLACK BOOK RECORDS
30,0,"JOCELYN BROWN, LUKE ALESSI, CHLOé CAILLET",The One,7602,120,HOUSE,https://www.beatstats.com/track/track/20307568,5:45,2025-04-11,65,2A - D# Minor,SMIILE RECORDS / DISORDER
31,2,"KURD MAVERICK, HUGEL",PYHU (Put Your Hands Up),7590,119,AFRO HOUSE,https://www.beatstats.com/track/track/20969830,5:23,2025-10-03,123,5B - D# Major,CR2 RECORDS
32,2,"SHAKEDOWN, LAYTON GIORDANI, ANYMA (OFC)",At Night (Anyma x Layton Giordani Extended Remix),7542,123,MELODIC HOUSE & TECHNO,https://www.beatstats.com/track/track/20661162,4:35,2025-06-27,127,7B - F Major,DEFECTED
33,2,JULIAN FIJMA,Get Stupid,7539,124,MINIMAL / DEEP TECH,https://www.beatstats.com/track/track/20889654,5:36,2025-08-08,130,5B - D# Major,TSZR
34,2,"BOBBY SHMURDA, SIDEPIECE",Cash Out,7506,134,TECH HOUSE,https://www.beatstats.com/track/track/20566956,3:57,2025-06-20,130,6A - G Minor,LIP SERVICE
35,2,"MODJO, SPARROW & BARBOSSA, KOSHI, DAYMAAN, SPARROW (CH)",Lady (Hear Me Tonight) - Remix,7469,120,AFRO HOUSE,https://www.beatstats.com/track/track/21628116,6:32,2025-09-26,120,3A - A# Minor,KITSUNE MUSIQUE
36,0,MAU P,The Less I Know The Better,7359,134,TECH HOUSE,https://www.beatstats.com/track/track/20085129,5:54,2025-02-28,128,12B - E Major,NERVOUS RECORDS
37,1,BISCITS,Crush,7210,107,TECH HOUSE,https://www.beatstats.com/track/track/20362602,6:25,2025-05-02,132,7B - F Major,WRONG.
38,10,"NICK CURLY, JOëLLA JACKSON",Attention,7032,143,DEEP HOUSE,https://www.beatstats.com/track/track/22480525,6:01,2025-12-05,128,3A - A# Minor,CECILLE
39,0,RÜFÜS DU SOL,In the Moment (Adriatique Extended Remix),7014,150,MELODIC HOUSE & TECHNO,https://www.beatstats.com/track/track/20327131,5:12,2025-04-04,124,3A - A# Minor,ROSE AVENUE/REPRISE
40,0,"NATE DOGG, KOLTER",Liquor Store,6986,92,HOUSE,https://www.beatstats.com/track/track/20895024,6:37,2025-08-08,131,12B - E Major,DISORDER
41,0,"CAMELPHAT, ELDERBROOK, ARTBAT",Cola,6957,98,TECH HOUSE,https://www.beatstats.com/track/track/20790162,5:05,2025-08-08,125,4A - F Minor,DEFECTED
42,0,BONAFIQUE,Monologue,6953,154,INDIE DANCE,https://www.beatstats.com/track/track/20962298,4:48,2025-09-10,125,8A - A Minor,GET PHYSICAL MUSIC
43,36,ESSE (US),Make My Day,6933,89,TECH HOUSE,https://www.beatstats.com/track/track/23451068,4:16,2026-01-30,130,8B - C Major,ESSENTIAL.
44,55,"REINIER ZONNEVELD, GORDO",Loco Loco,6814,80,DANCE / POP,https://www.beatstats.com/track/track/23904036,4:47,2026-02-13,127,10A - B Minor,SPINNIN' RECORDS
45,0,"VINTAGE CULTURE, GABSS",Lost,6804,76,MELODIC HOUSE & TECHNO,https://www.beatstats.com/track/track/22738898,6:46,2025-12-19,128,6A - G Minor,AFFAIRS
46,35,JOSHWA,Out of My Mind,6644,87,TECH HOUSE,https://www.beatstats.com/track/track/23451235,5:15,2026-02-06,132,11B - A Major,HELLBENT RECORDS
47,0,SAMM (BE),Body Language,6636,90,HOUSE,https://www.beatstats.com/track/track/20633751,6:04,2025-07-11,122,5A - C Minor,ABRACADABRA MUSIC
48,0,"ADAM PORT, STRYV, MALACHIII",Positions,6424,91,AFRO HOUSE,https://www.beatstats.com/track/track/20674436,4:11,2025-06-27,122,1A - G# Minor,"STRYV, MALACHIII, ADAM PORT"
49,0,"EMANUELE ESPOSITO, GIANNI ROMANO, HELEN TESFAZGHI, &FRIENDS",It's Not Right,6335,121,AFRO HOUSE,https://www.beatstats.com/track/track/20156008,6:06,2025-03-21,123,5A - C Minor,ULU RECORDS
50,0,SCRIPT,WTF,6324,106,TECH HOUSE,https://www.beatstats.com/track/track/20796447,4:56,2025-08-01,130,4A - F Minor,TSZR
51,0,"MK, CHRYSTAL",Dior,6297,95,HOUSE,https://www.beatstats.com/track/track/20528357,5:00,2025-06-06,128,9A - E Minor,COLUMBIA (SONY)
52,0,MESTO,Caramelle,6272,85,MAINSTAGE,https://www.beatstats.com/track/track/22741059,3:11,2025-11-28,128,5B - D# Major,STMPD RCRDS
53,0,"MR. BELT & WEZOL, RUZE",Ain't Nobody,6183,92,HOUSE,https://www.beatstats.com/track/track/21357834,4:53,2025-09-12,128,2A - D# Minor,THE CUCKOO'S NEST
54,0,DISCIP,Pull Up,6110,80,TECH HOUSE,https://www.beatstats.com/track/track/22866908,4:57,2025-12-05,129,2B - F# Major,EXPERTS ONLY
55,0,L.P. RHYTHM,Versatile,6022,89,HOUSE,https://www.beatstats.com/track/track/20719741,5:53,2025-07-11,131,10B - D Major,DISORDER
56,0,"TIESTO, ODD MOB, GOODBOYS",Won't Be Possible,5971,91,DANCE / POP,https://www.beatstats.com/track/track/20470408,3:13,2025-05-09,130,2A - D# Minor,ATLANTIC RECORDS
