rank,rise_amount,is_rising,artist_raw,artists,num_artists,title,genre,points,days,beatport_link
35,2,True,"MODJO, SPARROW & BARBOSSA, KOSHI, DAYMAAN, SPARROW (CH)",MODJO | SPARROW & BARBOSSA | KOSHI | DAYMAAN | SPARROW (CH),5,Lady (Hear Me Tonight) - Remix,AFRO HOUSE,7469,120,https://www.beatport.com/track/lady-hear-me-tonight-remix/21628116
36,42,True,MAU P,MAU P,1,neck,TECH HOUSE,7340,82,https://www.beatport.com/track/neck/23308330
37,48,True,TRACE (UZ),TRACE (UZ),1,Good Time,HOUSE,7337,81,https://www.beatport.com/track/good-time/23443670
38,0,False,BISCITS,BISCITS,1,Crush,TECH HOUSE,7210,107,https://www.beatport.com/track/crush/20362602
39,0,False,"NATE DOGG, KOLTER",NATE DOGG | KOLTER,2,Liquor Store,HOUSE,6986,92,https://www.beatport.com/track/liquor-store/20895024
40,0,False,"CAMELPHAT, ELDERBROOK, ARTBAT",CAMELPHAT | ELDERBROOK | ARTBAT,3,Cola,TECH HOUSE,6957,98,https://www.beatport.com/track/cola/20790162
41,0,False,BONAFIQUE,BONAFIQUE,1,Monologue,INDIE DANCE,6953,154,https://www.beatport.com/track/monologue/20962298
42,6,True,"NICK CURLY, JOëLLA JACKSON",NICK CURLY | JOëLLA JACKSON,2,Attention,DEEP HOUSE,6937,138,https://www.beatport.com/track/attention/22480525
43,36,True,ESSE (US),ESSE (US),1,Make My Day,TECH HOUSE,6857,84,https://www.beatport.com/track/make-my-day/23451068
44,0,False,"VINTAGE CULTURE, GABSS",VINTAGE CULTURE | GABSS,2,Lost,MELODIC HOUSE & TECHNO,6804,76,https://www.beatport.com/track/lost/22738898
45,0,False,"EMANUELE ESPOSITO, GIANNI ROMANO, HELEN TESFAZGHI, &FRIENDS",EMANUELE ESPOSITO | GIANNI ROMANO | HELEN TESFAZGHI | &FRIENDS,4,It's Not Right,AFRO HOUSE,6753,126,https://www.beatport.com/track/its-not-right/20156008
46,0,False,SAMM (BE),SAMM (BE),1,Body Language,HOUSE,6636,90,https://www.beatport.com/track/body-language/20633751
47,34,True,JOSHWA,JOSHWA,1,Out of My Mind,TECH HOUSE,6466,82,https://www.beatport.com/track/out-of-my-mind/23451235
48,51,True,"REINIER ZONNEVELD, GORDO",REINIER ZONNEVELD | GORDO,2,Loco Loco,DANCE / POP,6448,75,https://www.beatport.com/track/loco-loco/23904036
49,0,False,"ADAM PORT, STRYV, MALACHIII",ADAM PORT | STRYV | MALACHIII,3,Positions,AFRO HOUSE,6424,91,https://www.beatport.com/track/positions/20674436
50,0,False,SCRIPT,SCRIPT,1,WTF,TECH HOUSE,6324,106,https://www.beatport.com/track/wtf/20796447
51,0,False,"MK, CHRYSTAL",MK | CHRYSTAL,2,Dior,HOUSE,6297,95,https://www.beatport.com/track/dior/20528357
52,0,False,MESTO,MESTO,1,Caramelle,MAINSTAGE,6272,85,https://www.beatport.com/track/caramelle/22741059
53,0,False,"MARSHALL JEFFERSON, MAESIC, SALOMé DAS",MARSHALL JEFFERSON | MAESIC | SALOMé DAS,3,Life Is Simple (Move Your Body),AFRO HOUSE,6219,100,https://www.beatport.com/track/life-is-simple-move-your-body/20128472
54,0,False,"MR. BELT & WEZOL, RUZE",MR. BELT & WEZOL | RUZE,2,Ain't Nobody,HOUSE,6183,92,https://www.beatport.com/track/aint-nobody/21357834
55,0,False,DISCIP,DISCIP,1,Pull Up,TECH HOUSE,6110,80,https://www.beatport.com/track/pull-up/22866908
56,0,False,L.P. RHYTHM,L.P. RHYTHM,1,Versatile,HOUSE,6022,89,https://www.beatport.com/track/versatile/20719741
57,0,False,"TIESTO, ODD MOB, GOODBOYS",TIESTO | ODD MOB | GOODBOYS,3,Won't Be Possible,DANCE / POP,5971,91,https://www.beatport.com/track/wont-be-possible/20470408
58,0,False,"THREE DRIVES, THREE DRIVES ON A VINYL, MAX STYLER",THREE DRIVES | THREE DRIVES ON A VINYL | MAX STYLER,3,Greece 2000,TRANCE (MAIN FLOOR),5772,80,https://www.beatport.com/track/greece-2000/23011269
59,1,True,ALAIA & GALLO,ALAIA & GALLO,1,Lipstick,TECH HOUSE,5696,114,https://www.beatport.com/track/lipstick/20572171
60,1,True,"ODD MOB, OMNOM, HYPERBEAM",ODD MOB | OMNOM | HYPERBEAM,3,Coming Up (It's Dare),DANCE / POP,5682,84,https://www.beatport.com/track/coming-up-its-dare/22424419
61,1,True,MPH,MPH,1,Raw,UK GARAGE / BASSLINE,5645,130,https://www.beatport.com/track/raw/20533994
62,1,True,"CALVIN HARRIS, D.O.D",CALVIN HARRIS | D.O.D,2,Sweet Nothing,DANCE / POP,5635,86,https://www.beatport.com/track/sweet-nothing/21111811
63,1,True,"HECTOR COUTO, ALEJANDRO PAZ",HECTOR COUTO | ALEJANDRO PAZ,2,El House,HOUSE,5486,89,https://www.beatport.com/track/el-house/20431852
64,1,True,EMANUEL SATIE,EMANUEL SATIE,1,Give It All,HOUSE,5473,85,https://www.beatport.com/track/give-it-all/22384690
65,2,True,"ODD MOB, OMNOM, HYPERBEAM",ODD MOB | OMNOM | HYPERBEAM,3,System,TECH HOUSE,5387,78,https://www.beatport.com/track/system/21251156
66,2,True,"MOBY, BLOND:ISH, KIKO FRANCO",MOBY | BLOND:ISH | KIKO FRANCO,3,Natural Blues,HOUSE,5359,73,https://www.beatport.com/track/natural-blues/20488794
67,155,True,"ANOTR, 54 ULTRA",ANOTR | 54 ULTRA,2,Talk To You,HOUSE,5345,54,https://www.beatport.com/track/talk-to-you/24508685
68,1,True,"SONNY FODERA, D.O.D, POPPY BASKCOMB",SONNY FODERA | D.O.D | POPPY BASKCOMB,3,Think About Us,DANCE / POP,5322,119,https://www.beatport.com/track/think-about-us/22203336
69,1,True,TINI GESSLER,TINI GESSLER,1,For The Soul,TECH HOUSE,5305,92,https://www.beatport.com/track/for-the-soul/22354597
70,26,True,"MILKY, MALL GRAB",MILKY | MALL GRAB,2,Just The Way You Are,HOUSE,5302,82,https://www.beatport.com/track/just-the-way-you-are/23900747
71,0,False,SOSA (UK),SOSA (UK),1,Be Without You,TECH HOUSE,5289,83,https://www.beatport.com/track/be-without-you/22015205
